2;2;2;50.303030303;49.0909090909;111.917627717
2;2;4;50.303030303;49.0909090909;70.8044395272
2;2;6;50.303030303;49.0909090909;60.6470169798
2;2;8;50.303030303;49.0909090909;65.0390910651
2;2;10;50.303030303;49.0909090909;72.2048321917
2;3;2;50.303030303;49.0909090909;87.7054913862
2;3;4;50.303030303;49.0909090909;97.4885629645
2;3;6;50.303030303;49.0909090909;111.384304657
2;3;8;50.303030303;49.0909090909;103.56196322
2;3;10;50.303030303;49.0909090909;93.3538671965
2;5;2;50.303030303;49.0909090909;129.365092447
2;5;4;50.303030303;49.0909090909;140.40697865
2;5;6;50.303030303;49.0909090909;132.91424852
2;5;8;50.303030303;49.0909090909;136.289428325
2;5;10;50.303030303;49.0909090909;139.765833333
