Python 2.7.6 (default, Nov 10 2013, 19:24:18) [MSC v.1500 32 bit (Intel)] on win32
Type "help", "copyright", "credits" or "license" for more information.

Imported NumPy 1.8.1, SciPy 0.14.0, Matplotlib 1.3.1
+ guidata 1.6.1, guiqwt 2.3.2
Type "scientific" for more details.
>>> runfile('C:/Python27/Lib/site-packages/xy/Projects/dbn_try1.py', wdir=r'C:/Python27/Lib/site-packages/xy/Projects')
... loading data
... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 94, cost  -9.52398976134
Pre-training layer 0, epoch 95, cost  -9.55820981635
Pre-training layer 0, epoch 96, cost  -9.5117388869
Pre-training layer 0, epoch 97, cost  -9.52859814539
Pre-training layer 0, epoch 98, cost  -9.55964913779
Pre-training layer 0, epoch 99, cost  -9.52100381522
Pre-training layer 1, epoch 0, cost  -73.4435697561
Pre-training layer 1, epoch 1, cost  -61.2150326295
Pre-training layer 1, epoch 2, cost  -57.9792273434
Pre-training layer 1, epoch 3, cost  -56.3897695785
Pre-training layer 1, epoch 4, cost  -55.5989378872
Pre-training layer 1, epoch 5, cost  -54.9999186859
Pre-training layer 1, epoch 6, cost  -54.614259368
Pre-training layer 1, epoch 7, cost  -54.3314384088
Pre-training layer 1, epoch 8, cost  -54.1080591603
Pre-training layer 1, epoch 9, cost  -53.9645653878
Pre-training layer 1, epoch 10, cost  -53.8602732072
Pre-training layer 1, epoch 11, cost  -53.7875277825
Pre-training layer 1, epoch 12, cost  -53.7079907236
Pre-training layer 1, epoch 13, cost  -53.6532363631
Pre-training layer 1, epoch 14, cost  -53.6362798105
Pre-training layer 1, epoch 15, cost  -53.5869716801
Pre-training layer 1, epoch 16, cost  -53.5314728038
Pre-training layer 1, epoch 17, cost  -53.501832452
Pre-training layer 1, epoch 18, cost  -53.4718837226
Pre-training layer 1, epoch 19, cost  -53.4650802474
Pre-training layer 1, epoch 20, cost  -53.4124710466
Pre-training layer 1, epoch 21, cost  -53.4050199569
Pre-training layer 1, epoch 22, cost  -53.3673969871
Pre-training layer 1, epoch 23, cost  -53.3394206453
Pre-training layer 1, epoch 24, cost  -53.3370842042
Pre-training layer 1, epoch 25, cost  -53.3048173929
Pre-training layer 1, epoch 26, cost  -53.3128596158
Pre-training layer 1, epoch 27, cost  -53.27414813
Pre-training layer 1, epoch 28, cost  -53.2626108522
Pre-training layer 1, epoch 29, cost  -53.2443806181
Pre-training layer 1, epoch 30, cost  -53.2321824651
Pre-training layer 1, epoch 31, cost  -53.1999976879
Pre-training layer 1, epoch 32, cost  -53.1932039909
Pre-training layer 1, epoch 33, cost  -53.1766860295
Pre-training layer 1, epoch 34, cost  -53.1648218749
Pre-training layer 1, epoch 35, cost  -53.1629691217
Pre-training layer 1, epoch 36, cost  -53.1301913168
Pre-training layer 1, epoch 37, cost  -53.1092169307
Pre-training layer 1, epoch 38, cost  -53.1044636545
Pre-training layer 1, epoch 39, cost  -53.0884707864
Pre-training layer 1, epoch 40, cost  -53.0642940815
Pre-training layer 1, epoch 41, cost  -53.0553346971
Pre-training layer 1, epoch 42, cost  -53.0460541657
Pre-training layer 1, epoch 43, cost  -53.0371696522
Pre-training layer 1, epoch 44, cost  -53.0162635174
Pre-training layer 1, epoch 45, cost  -53.0058169079
Pre-training layer 1, epoch 46, cost  -53.0099624961
Pre-training layer 1, epoch 47, cost  -52.9978561061
Pre-training layer 1, epoch 48, cost  -52.9805972412
Pre-training layer 1, epoch 49, cost  -52.9795506181
Pre-training layer 1, epoch 50, cost  -52.9811452777
Pre-training layer 1, epoch 51, cost  -52.9719256153
Pre-training layer 1, epoch 52, cost  -52.9700666963
Pre-training layer 1, epoch 53, cost  -52.9573704931
Pre-training layer 1, epoch 54, cost  -52.9672797168
Pre-training layer 1, epoch 55, cost  -52.9707371133
Pre-training layer 1, epoch 56, cost  -52.9490975483
Pre-training layer 1, epoch 57, cost  -52.9605908224
Pre-training layer 1, epoch 58, cost  -52.9456849676
Pre-training layer 1, epoch 59, cost  -52.9516450496
Pre-training layer 1, epoch 60, cost  -52.9468256641
Pre-training layer 1, epoch 61, cost  -52.9580296601
Pre-training layer 1, epoch 62, cost  -52.9474087745
Pre-training layer 1, epoch 63, cost  -52.9494131393
Pre-training layer 1, epoch 64, cost  -52.9487703785
Pre-training layer 1, epoch 65, cost  -52.9229510546
Pre-training layer 1, epoch 66, cost  -52.9411096577
Pre-training layer 1, epoch 67, cost  -52.9206543838
Pre-training layer 1, epoch 68, cost  -52.9287232728
Pre-training layer 1, epoch 69, cost  -52.9325515679
Pre-training layer 1, epoch 70, cost  -52.9281097858
Pre-training layer 1, epoch 71, cost  -52.9248633897
Pre-training layer 1, epoch 72, cost  -52.9270202955
Pre-training layer 1, epoch 73, cost  -52.9268165745
Pre-training layer 1, epoch 74, cost  -52.9264383101
Pre-training layer 1, epoch 75, cost  -52.9142938253
Pre-training layer 1, epoch 76, cost  -52.9296499715
Pre-training layer 1, epoch 77, cost  -52.9219567581
Pre-training layer 1, epoch 78, cost  -52.9196774733
Pre-training layer 1, epoch 79, cost  -52.9236639462
Pre-training layer 1, epoch 80, cost  -52.9224417401
Pre-training layer 1, epoch 81, cost  -52.9256234507
Pre-training layer 1, epoch 82, cost  -52.907886554
Pre-training layer 1, epoch 83, cost  -52.9158577468
Pre-training layer 1, epoch 84, cost  -52.906091115
Pre-training layer 1, epoch 85, cost  -52.9100554642
Pre-training layer 1, epoch 86, cost  -52.9084181006
Pre-training layer 1, epoch 87, cost  -52.9090528763
Pre-training layer 1, epoch 88, cost  -52.9136683727
Pre-training layer 1, epoch 89, cost  -52.9009291701
Pre-training layer 1, epoch 90, cost  -52.9091880574
Pre-training layer 1, epoch 91, cost  -52.9012552555
Pre-training layer 1, epoch 92, cost  -52.8991638056
Pre-training layer 1, epoch 93, cost  -52.9078167068
Pre-training layer 1, epoch 94, cost  -52.9082861423
Pre-training layer 1, epoch 95, cost  -52.894524331
Pre-training layer 1, epoch 96, cost  -52.9055535736
Pre-training layer 1, epoch 97, cost  -52.9121243506
Pre-training layer 1, epoch 98, cost  -52.9115838282
Pre-training layer 1, epoch 99, cost  -52.8955273318
Pre-training layer 2, epoch 0, cost  -13.164052776
Pre-training layer 2, epoch 1, cost  -5.76787159078
Pre-training layer 2, epoch 2, cost  -5.4389736351
Pre-training layer 2, epoch 3, cost  -5.26608963434
Pre-training layer 2, epoch 4, cost  -5.16034744573
Pre-training layer 2, epoch 5, cost  -5.082709015
Pre-training layer 2, epoch 6, cost  -5.02123527602
Pre-training layer 2, epoch 7, cost  -4.97114534023
Pre-training layer 2, epoch 8, cost  -4.93483853812
Pre-training layer 2, epoch 9, cost  -4.90134606447
Pre-training layer 2, epoch 10, cost  -4.86907531184
Pre-training layer 2, epoch 11, cost  -4.85499421647
Pre-training layer 2, epoch 12, cost  -4.83270922677
Pre-training layer 2, epoch 13, cost  -4.80271822427
Pre-training layer 2, epoch 14, cost  -4.78301848116
Pre-training layer 2, epoch 15, cost  -4.76102301148
Pre-training layer 2, epoch 16, cost  -4.74790190678
Pre-training layer 2, epoch 17, cost  -4.73044277049
Pre-training layer 2, epoch 18, cost  -4.71963823424
Pre-training layer 2, epoch 19, cost  -4.70763697992
Pre-training layer 2, epoch 20, cost  -4.69103298196
Pre-training layer 2, epoch 21, cost  -4.68262756826
Pre-training layer 2, epoch 22, cost  -4.67170203372
Pre-training layer 2, epoch 23, cost  -4.66337860321
Pre-training layer 2, epoch 24, cost  -4.65396397885
Pre-training layer 2, epoch 25, cost  -4.65540307354
Pre-training layer 2, epoch 26, cost  -4.64365417707
Pre-training layer 2, epoch 27, cost  -4.63340794933
Pre-training layer 2, epoch 28, cost  -4.6218939321
Pre-training layer 2, epoch 29, cost  -4.61571223851
Pre-training layer 2, epoch 30, cost  -4.61454366665
Pre-training layer 2, epoch 31, cost  -4.60733604229
